學校名稱,學院名稱,系所名稱,系所網址
國立政治大學,教育學院,教育學系,https://edu.nccu.edu.tw/
國立政治大學,教育學院,教育行政與政策研究所,https://eap.nccu.edu.tw/
國立政治大學,教育學院,學校行政碩士在職專班,https://mesa.nccu.edu.tw/
國立政治大學,教育學院,幼兒教育研究所,https://ece.nccu.edu.tw/
國立政治大學,文學院,宗教研究所,https://religion.nccu.edu.tw/
國立政治大學,文學院,歷史學系,https://history.nccu.edu.tw/
國立政治大學,文學院,台灣史研究所,https://taiwan.nccu.edu.tw/
國立政治大學,社會科學學院,民族學系,https://ethnos.nccu.edu.tw/
國立政治大學,文學院,哲學系,https://thinker.nccu.edu.tw/
國立政治大學,傳播學院,亞際文化研究國際碩士學位學程,https://iacs.nccu.edu.tw/
國立政治大學,外國語文學院,英國語文學系,https://english.nccu.edu.tw/
國立政治大學,外國語文學院,日本語文學系,https://japanese.nccu.edu.tw/
國立政治大學,外國語文學院,阿拉伯語文學系,https://arabic.nccu.edu.tw/
國立政治大學,外國語文學院,韓國語文學系,https://korean.nccu.edu.tw/
國立政治大學,外國語文學院,土耳其語文學系,https://turkish.nccu.edu.tw/
國立政治大學,外國語文學院,歐洲語文學系,https://european.nccu.edu.tw/
國立政治大學,外國語文學院,斯拉夫語文學系,https://slavic.nccu.edu.tw/
國立政治大學,外國語文學院,東南亞語文學系,https://sealc.nccu.edu.tw/
國立政治大學,文學院,台灣文學研究所,https://tailit.nccu.edu.tw/
國立政治大學,文學院,中國文學系,https://chinese.nccu.edu.tw/
國立政治大學,文學院,華語文教學博士學位學程,https://tcsl.nccu.edu.tw/
國立政治大學,文學院,華語文教學碩士學位學程,https://tcsl.nccu.edu.tw/
國立政治大學,外國語文學院,語言學研究所,https://ling.nccu.edu.tw/
國立政治大學,社會科學學院,經濟學系,https://econo.nccu.edu.tw/
國立政治大學,社會科學學院,應用經濟與社會發展英語碩士學位學程,https://imes.nccu.edu.tw/
國立政治大學,社會科學學院,政治學系,https://politics.nccu.edu.tw/
國立政治大學,國際事務學院,國際事務學院國家安全與大陸研究碩士在職專班,https://ocia51113.nccu.edu.tw/
國立政治大學,國際事務學院,外交學系,https://diplomacy.nccu.edu.tw/
國立政治大學,國際事務學院,國際研究英語碩士學位學程,https://impis.nccu.edu.tw/
國立政治大學,理學院,心理學系,https://psy.nccu.edu.tw/
國立政治大學,教育學院,輔導與諮商碩士學位學程,https://mpcg.nccu.edu.tw/
國立政治大學,社會科學學院,社會學系,https://sociology.nccu.edu.tw/
國立政治大學,外國語文學院,中東與中亞研究碩士學位學程,https://mecas.nccu.edu.tw/
國立政治大學,國際事務學院,東亞研究所,https://eastasia.nccu.edu.tw/
國立政治大學,國際事務學院,日本研究博士學位學程,https://mpjs.nccu.edu.tw/
國立政治大學,國際事務學院,日本研究碩士學位學程,https://mpjs.nccu.edu.tw/
國立政治大學,國際事務學院,俄羅斯研究所,https://rustudy.nccu.edu.tw/
國立政治大學,社會科學學院,亞太研究英語博士學位學程,https://idas.nccu.edu.tw/
國立政治大學,社會科學學院,亞太研究英語碩士學位學程,https://imas.nccu.edu.tw/
國立政治大學,社會科學學院,地政學系,https://landeconomics.nccu.edu.tw/
國立政治大學,社會科學學院,土地政策與環境規劃碩士原住民專班,http://iland.nccu.edu.tw/
國立政治大學,社會科學學院,國家發展研究所,https://gids.nccu.edu.tw/
國立政治大學,社會科學學院,勞工研究所,https://labor.nccu.edu.tw/
國立政治大學,傳播學院,傳播學院傳播碩士學位學程,https://gradcomm.nccu.edu.tw/
國立政治大學,傳播學院,傳播學院傳播學士學位學程,https://gradcomm.nccu.edu.tw/
國立政治大學,傳播學院,國際傳播英語碩士學位學程,https://www.imics.nccu.edu.tw/
國立政治大學,傳播學院,傳播學院大一大二不分系,https://umicc.nccu.edu.tw/
國立政治大學,傳播學院,傳播學院博士班,https://ccphd.nccu.edu.tw/
國立政治大學,傳播學院,傳播學院碩士在職專班,https://ema.comm.nccu.edu.tw/
國立政治大學,傳播學院,廣播電視學系,https://rtv.nccu.edu.tw/
國立政治大學,傳播學院,新聞學系,https://jschool.nccu.edu.tw/
國立政治大學,創新國際學院,全球傳播與創新科技碩士學位學程,https://gcit.nccu.edu.tw/
國立政治大學,文學院,圖書資訊與檔案學研究所,https://ncculias.nccu.edu.tw/
國立政治大學,商學院,會計學系,https://acct.nccu.edu.tw/
國立政治大學,商學院,財務管理學系,https://finance.nccu.edu.tw/
國立政治大學,商學院,金融學系,https://banking.nccu.edu.tw/
國立政治大學,社會科學學院,財政學系,https://pf.nccu.edu.tw/
國立政治大學,商學院,風險管理與保險學系,https://rmi.nccu.edu.tw/
國立政治大學,商學院,企業管理研究所(MBA學位學程),https://mba.nccu.edu.tw/
國立政治大學,商學院,企業管理學系,https://ba.nccu.edu.tw/
國立政治大學,商學院,經營管理碩士學程,https://www.emba.nccu.edu.tw/
國立政治大學,商學院,國際經營管理英語碩士學位學程,https://imba.nccu.edu.tw/
國立政治大學,創新國際學院,創新國際學院學士班,https://ici.nccu.edu.tw/
國立政治大學,社會科學學院,公共行政學系,https://pa.nccu.edu.tw/
國立政治大學,社會科學學院,行政管理碩士學程,https://mepa.nccu.edu.tw/
國立政治大學,商學院,國際經營與貿易學系,https://ib.nccu.edu.tw/
國立政治大學,傳播學院,廣告學系,https://ad.nccu.edu.tw/
國立政治大學,商學院,科技管理與智慧財產研究所,https://tiipm.nccu.edu.tw/
國立政治大學,法學院,法律學系,https://www.law.nccu.edu.tw/
國立政治大學,法學院,法律科際整合研究所,https://www.law.nccu.edu.tw/
國立政治大學,法學院,法學院碩士在職專班,https://www.law.nccu.edu.tw/
國立政治大學,理學院,神經科學研究所,https://in.nccu.edu.tw/
國立政治大學,理學院,應用物理研究所,https://phys.nccu.edu.tw/
國立政治大學,理學院,電子物理學士學位學程,https://ephys.nccu.edu.tw/
國立政治大學,理學院,應用數學系,https://ms.nccu.edu.tw/
國立政治大學,商學院,統計學系,https://stat.nccu.edu.tw/
國立政治大學,商學院,資訊管理學系,https://mis2.nccu.edu.tw/
國立政治大學,資訊學院,資訊科學系,https://www.cs.nccu.edu.tw/
國立政治大學,資訊學院,社群網路與人智計算國際研究生博士學位學程,https://tigp.sinica.edu.tw/
國立政治大學,資訊學院,人工智慧應用學士學位學程,https://bpai.nccu.edu.tw/
國立政治大學,資訊學院,資訊安全碩士學位學程,https://mpis.nccu.edu.tw/
國立政治大學,傳播學院,數位內容碩士學位學程,https://www.dct.nccu.edu.tw/
國立政治大學,資訊學院,數位內容與科技學士學位學程,https://dct.nccu.edu.tw/
國立政治大學,社會科學學院,社會工作研究所,https://socialwork.nccu.edu.tw/
國立政治大學,不分院,運動產業與文化學士學位學程,無
國立清華大學,竹師教育學院,教育與學習科技學系,http://delt.site.nthu.edu.tw/
國立清華大學,竹師教育學院,竹師教育學院學士班,http://ipedu.site.nthu.edu.tw/
國立清華大學,竹師教育學院,特殊教育學系,https://www.dse.nthu.edu.tw/
國立清華大學,竹師教育學院,華德福教育碩士在職學位學程,http://cwemaster.site.nthu.edu.tw/
國立清華大學,竹師教育學院,幼兒教育學系,https://www.gdece.nthu.edu.tw/
國立清華大學,竹師教育學院,數理教育研究所,http://gimse.site.nthu.edu.tw/
國立清華大學,竹師教育學院,英語教學系,http://doei.site.nthu.edu.tw/
國立清華大學,竹師教育學院,運動科學系,http://dpe.site.nthu.edu.tw/
國立清華大學,竹師教育學院,竹師教育學院博士班,https://es.site.nthu.edu.tw/
國立清華大學,竹師教育學院,竹師教育學院跨領域STEAM教育碩士在職專班,http://steam.site.nthu.edu.tw/
國立清華大學,藝術學院,科技藝術研究所,https://technoart.nthu.edu.tw/
國立清華大學,藝術學院,藝術與設計學系,https://artdesign.nthu.edu.tw/
國立清華大學,藝術學院,音樂學系,http://music.site.nthu.edu.tw/
國立清華大學,藝術學院,藝術學院學士班,http://ipta.nthu.edu.tw/
國立清華大學,人文社會學院,歷史研究所,https://his.site.nthu.edu.tw/
國立清華大學,人文社會學院,人類學研究所,https://www.anth.nthu.edu.tw/
國立清華大學,人文社會學院,哲學研究所,http://philos.site.nthu.edu.tw/
國立清華大學,人文社會學院,亞際文化研究國際碩士學位學程(台灣聯合大學系統),https://iics.nycu.edu.tw/
國立清華大學,人文社會學院,人文社會學院學士班,http://www.dhss.nthu.edu.tw/
國立清華大學,人文社會學院,外國語文學系,http://www.fl.nthu.edu.tw/
國立清華大學,人文社會學院,台灣文學研究所,https://tl.site.nthu.edu.tw/
國立清華大學,竹師教育學院,臺灣語言研究與教學研究所,http://gitll.site.nthu.edu.tw/
國立清華大學,人文社會學院,中國文學系,https://cl.site.nthu.edu.tw/
國立清華大學,人文社會學院,華文文學研究所,http://sinophone.site.nthu.edu.tw/
國立清華大學,人文社會學院,華語文碩士學位學程,https://clcul.site.nthu.edu.tw/app/index.php
國立清華大學,人文社會學院,語言學研究所,https://ling.site.nthu.edu.tw/
國立清華大學,科技管理學院,經濟學系,http://www.econ.nthu.edu.tw/
國立清華大學,台北政經學院,台北政經學院政治經濟博士班,https://www.tse.nthu.edu.tw/
國立清華大學,台北政經學院,台北政經學院政治經濟碩士班,https://www.tse.nthu.edu.tw/
國立清華大學,竹師教育學院,教育心理與諮商學系,http://psy.site.nthu.edu.tw/
國立清華大學,竹師教育學院,竹師教育學院心理與諮商碩士新加坡境外在職專班,http://spcm.site.nthu.edu.tw/
國立清華大學,人文社會學院,社會學研究所,https://iosoc.site.nthu.edu.tw/index.php
國立清華大學,人文社會學院,台灣研究教師在職進修碩士學位班,https://gpts.site.nthu.edu.tw/
國立清華大學,竹師教育學院,學習科學與科技研究所,http://ilst.site.nthu.edu.tw/
國立清華大學,科技管理學院,科技管理學院財務金融碩士在職專班,http://mfb.site.nthu.edu.tw/
國立清華大學,科技管理學院,計量財務金融學系,http://www.qf.nthu.edu.tw/
國立清華大學,科技管理學院,經營管理碩士在職專班,http://mba.nthu.edu.tw/
國立清華大學,科技管理學院,國際專業管理碩士班,http://imba.nthu.edu.tw/
國立清華大學,科技管理學院,科技管理學院公共政策與管理碩士在職專班,http://mpm.site.nthu.edu.tw/?Lang=zh-tw
國立清華大學,科技管理學院,科技管理研究所,http://www.tm.nthu.edu.tw/
國立清華大學,科技管理學院,科技管理學院高階經營管理亞太地區馬來西亞境外碩士在職專班,http://embaos.site.nthu.edu.tw/
國立清華大學,科技管理學院,科技管理學院高階經營管理深圳境外碩士在職專班,http://embaos.site.nthu.edu.tw/
國立清華大學,科技管理學院,高階經營管理碩士在職專班,http://emba.nthu.edu.tw/
國立清華大學,科技管理學院,高階經營管理雙聯碩士在職學位學程,https://dualemba.site.nthu.edu.tw/
國立清華大學,科技管理學院,服務科學研究所,http://www.iss.nthu.edu.tw/
國立清華大學,科技管理學院,科技管理學院學士班,http://www.dspmt.nthu.edu.tw/
國立清華大學,科技管理學院,科技管理學院健康政策與經營管理碩士在職專班,https://hba.site.nthu.edu.tw/
國立清華大學,科技管理學院,科技法律研究所,http://www.lst.nthu.edu.tw/
國立清華大學,生命科學暨醫學院,生命科學系,https://dls.site.nthu.edu.tw/
國立清華大學,生命科學暨醫學院,生物科技研究所,https://ibt.site.nthu.edu.tw/
國立清華大學,生命科學暨醫學院,分子與細胞生物研究所,https://imcb.site.nthu.edu.tw/
國立清華大學,生命科學暨醫學院,生技產業博士學位學程,http://bioindustry.life.nthu.edu.tw/
國立清華大學,生命科學暨醫學院,生物資訊與結構生物研究所,https://ibs.site.nthu.edu.tw/
國立清華大學,生命科學暨醫學院,生物資訊學國際研究生博士學位學程,http://tigp.sinica.edu.tw/
國立清華大學,生命科學暨醫學院,分子醫學研究所,https://imm.site.nthu.edu.tw/
國立清華大學,不分院,藥品與醫材法規科學碩士在職學位學程,https://radmd.site.nthu.edu.tw/app/index.php
國立清華大學,生命科學暨醫學院,系統神經科學研究所,https://isn.site.nthu.edu.tw/
國立清華大學,生命科學暨醫學院,跨領域神經科學博士學位學程(台灣聯合大學系統),https://cls.site.nthu.edu.tw/p/404-1469-198861.php?Lang=zh-tw
國立清華大學,生命科學暨醫學院,生命科學暨醫學院學士班,https://uip.site.nthu.edu.tw/
國立清華大學,原子科學院,環境科技博士學位學程(台灣聯合大學系統),https://www.ust.edu.tw/Senate_Integration1.aspx
國立清華大學,竹師教育學院,環境與文化資源學系,http://decr.site.nthu.edu.tw/
國立清華大學,原子科學院,分析與環境科學研究所,http://iaes.site.nthu.edu.tw/
國立清華大學,理學院,分子科學與技術國際研究生博士學位學程,http://tigp.sinica.edu.tw/
國立清華大學,理學院,化學生物學與分子生物物理學國際研究生博士學位學程,http://tigp.sinica.edu.tw/
國立清華大學,理學院,化學系,http://chem.site.nthu.edu.tw/
國立清華大學,理學院,物理學系,http://phys.site.nthu.edu.tw/
國立清華大學,理學院,量子科技暨尖端材料博士學位學程,https://qtam.site.nthu.edu.tw/
國立清華大學,理學院,天文研究所,http://www.astr.nthu.edu.tw/
國立清華大學,理學院,先進光源科技博士學位學程,http://tssls.site.nthu.edu.tw/
國立清華大學,理學院,先進光源科技碩士學位學程,http://tssls.site.nthu.edu.tw/
國立清華大學,理學院,理學院學士班,http://scidm.site.nthu.edu.tw/
國立清華大學,理學院,數學系,http://www.math.nthu.edu.tw/main.php
國立清華大學,理學院,計算與建模科學研究所,http://cms.site.nthu.edu.tw/
國立清華大學,理學院,統計與數據科學研究所,http://stat.site.nthu.edu.tw/
國立清華大學,電機資訊學院,資訊工程學系,http://web.cs.nthu.edu.tw/
國立清華大學,電機資訊學院,資訊安全研究所,http://iis.site.nthu.edu.tw/
國立清華大學,電機資訊學院,資訊系統與應用研究所,http://isa.site.nthu.edu.tw/
國立清華大學,電機資訊學院,國際資訊科技與應用碩士學程,http://isa.site.nthu.edu.tw/
國立清華大學,電機資訊學院,社群網路與人智計算國際研究生博士學位學程,http://tigp.sinica.edu.tw/
國立清華大學,工學院,化學工程學系,http://www.che.nthu.edu.tw/
國立清華大學,工學院,材料科學工程學系,http://www.mse.nthu.edu.tw/
