代碼",公私立,體制,學校名稱,學院名稱,系所代碼,系所名稱,電話,電話分機,傳真,電子郵件,系所網址
0001,公立,一般大學,國立政治大學,教育學院,01111001,教育學系,02-2939-3091,62331,02-2938-7717,nccuedu@nccu.edu.tw,https://edu.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,教育學院,01111001,教育學系,02-2939-3091,62331,02-2938-7717,nccuedu@nccu.edu.tw,https://edu.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,教育學院,01111001,教育學系,02-2939-3091,62331,02-2938-7717,nccuedu@nccu.edu.tw,https://edu.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,教育學院,01114005,教育行政與政策研究所,02-2939-3091,66081,02-2938-7470,eap@nccu.edu.tw,https://eap.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,教育學院,01114006,學校行政碩士在職專班,02-2939-3091,60012,02-8661-9260,mesanccu@gmail.com,https://mesa.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,教育學院,01121004,幼兒教育研究所,02-2939-3091,62209,02-2938-7733,ece@nccu.edu.tw,https://ece.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02211019,宗教研究所,02-2938-7730,無,02-2938-7731,religion@nccu.edu.tw,https://religion.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02211019,宗教研究所,02-2938-7730,無,02-2938-7731,religion@nccu.edu.tw,https://religion.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02221020,歷史學系,02-2938-7045,無,02-2939-0257,history@nccu.edu.tw,https://history.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02221020,歷史學系,02-2938-7045,無,02-2939-0257,history@nccu.edu.tw,https://history.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02221020,歷史學系,02-2938-7045,無,02-2939-0257,history@nccu.edu.tw,https://history.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02221021,台灣史研究所,02-2938-7575,無,02-2938-7573,formosa@nccu.edu.tw,https://taiwan.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02221021,台灣史研究所,02-2938-7575,無,02-2938-7573,formosa@nccu.edu.tw,https://taiwan.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,02222031,民族學系,02-2939-3091,50551,02-2938-7587,ethnos@nccu.edu.tw,https://ethnos.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,02222031,民族學系,02-2939-3091,50551,02-2938-7587,ethnos@nccu.edu.tw,https://ethnos.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,社會科學學院,02222031,民族學系,02-2939-3091,50551,02-2938-7587,ethnos@nccu.edu.tw,https://ethnos.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02231022,哲學系,02-2939-3091,62361,02-2939-0514,thinker@nccu.edu.tw,https://thinker.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02231022,哲學系,02-2939-3091,62361,02-2939-0514,thinker@nccu.edu.tw,https://thinker.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,文學院,02231022,哲學系,02-2939-3091,62361,02-2939-0514,thinker@nccu.edu.tw,https://thinker.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,傳播學院,02299098,亞際文化研究國際碩士學位學程,02-2939-3091,88102,無,iacsnccu@nccu.edu.tw,https://iacs.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,02311009,英國語文學系,02-2938-7072,無,02-2939-0510,english@nccu.edu.tw,https://english.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,02311009,英國語文學系,02-2938-7072,無,02-2939-0510,english@nccu.edu.tw,https://english.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,02311009,英國語文學系,02-2938-7072,無,02-2939-0510,english@nccu.edu.tw,https://english.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,02311009,英國語文學系,02-2938-7072,無,02-2939-0510,english@nccu.edu.tw,https://english.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,02311011,日本語文學系,02-2939-3091,62166,02-2938-7686,japanese@nccu.edu.tw,https://japanese.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,02311011,日本語文學系,02-2939-3091,62166,02-2938-7686,japanese@nccu.edu.tw,https://japanese.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,02311012,阿拉伯語文學系,02-2939-3091,63401,02-2938-7074,arabic@nccu.edu.tw,https://arabic.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,02311014,韓國語文學系,02-2938-7073,無,02-2938-7182,korea@nccu.edu.tw,https://korean.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,02311014,韓國語文學系,02-2938-7073,無,02-2938-7182,korea@nccu.edu.tw,https://korean.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,02311015,土耳其語文學系,02-2939-3091,62312,02-2939-0434,turkish@nccu.edu.tw,https://turkish.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,02311016,歐洲語文學系,02-2939-3091,63036,02-2938-7608,european@nccu.edu.tw,https://european.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,02311017,斯拉夫語文學系,02-2938-7280,無,02-2938-5776,slavic@nccu.edu.tw,https://slavic.nccu.edu.tw/
0001,公立,一般大學,國立政治大學,外國語文學院,02311017,斯拉夫語文學系,02-2938-7280,無,02-2938-5776,slavic@nccu.edu.tw,https://slavic.nccu.edu.tw/
